,buyer_id,last_transaction,recency_day,order_freq,gmv,aov,revenue,voucher_used,voucher_val,seller_count,num_of_seller_province,num_of_seller_city,cluster,cluster_name
4,631a514e7255a77e0e6eb785,2023-09-26,97,1,781000,781000.0,5857,0,0.0,1,1,1,0,Seasonal Buyer
6,631a51507255a77e0e6eb83a,2023-09-25,98,2,18205664,9102832.0,136542,0,0.0,2,1,2,0,Seasonal Buyer
18,631a515d7255a77e0e6ebcfb,2023-09-13,110,6,89978350,14996391.666666666,674836,0,0.0,2,2,2,0,Seasonal Buyer
24,631a51627255a77e0e6ebedf,2023-10-13,80,4,147922665,36980666.25,1109419,0,0.0,2,1,1,0,Seasonal Buyer
25,631a51677255a77e0e6ec0ba,2023-08-19,135,2,13244000,6622000.0,99330,0,0.0,1,1,1,0,Seasonal Buyer
27,631a51687255a77e0e6ec173,2023-10-10,83,3,5383500,1794500.0,40374,0,0.0,2,2,2,0,Seasonal Buyer
42,631a51817255a77e0e6eca8b,2023-10-11,82,3,64164445,21388148.333333332,481232,0,0.0,1,1,1,0,Seasonal Buyer
72,631a51b67255a77e0e6eda17,2023-08-04,150,4,19576404,4894101.0,146822,0,0.0,1,1,1,0,Seasonal Buyer
86,631a51bd5b9755003d255e25,2023-09-08,115,2,288200,144100.0,2161,0,0.0,2,2,2,0,Seasonal Buyer
87,631a51bd5b9755003d255e3a,2023-08-09,145,3,15677270,5225756.666666667,117578,0,0.0,3,3,3,0,Seasonal Buyer
104,631a51c35b9755003d255f8b,2023-10-11,82,11,16591000,1508272.7272727273,124431,0,0.0,6,4,5,0,Seasonal Buyer
123,631a51d85b9755003d2564d6,2023-09-07,116,3,6283400,2094466.6666666667,47124,0,0.0,2,2,2,0,Seasonal Buyer
125,631a51d95b9755003d25650a,2023-10-10,83,4,21986100,5496525.0,164895,0,0.0,2,2,2,0,Seasonal Buyer
133,631a51dd7255a77e0e6ee36b,2023-07-28,157,4,142890000,35722500.0,1071675,0,0.0,1,1,1,0,Seasonal Buyer
150,631a51f07255a77e0e6ee809,2023-09-22,101,1,50061000,50061000.0,375457,0,0.0,1,1,1,0,Seasonal Buyer
157,631a51f57255a77e0e6ee957,2023-10-13,80,5,17057059,3411411.8,127926,0,0.0,4,2,3,0,Seasonal Buyer
178,631a52147255a77e0e6ef11c,2023-07-18,167,1,228048,228048.0,1710,0,0.0,1,1,1,0,Seasonal Buyer
194,631a52227255a77e0e6ef4c4,2023-10-11,82,1,351620500,351620500.0,1758102,0,0.0,1,1,1,0,Seasonal Buyer
198,631a52267255a77e0e6ef5d0,2023-09-16,107,2,1319790,659895.0,9898,0,0.0,1,1,1,0,Seasonal Buyer
203,631a52285b9755003d25786f,2023-08-24,130,1,1024500,1024500.0,7683,0,0.0,1,1,1,0,Seasonal Buyer
204,631a52287255a77e0e6ef66e,2023-10-06,87,3,2676500,892166.6666666666,20073,0,0.0,3,1,2,0,Seasonal Buyer
205,631a52297255a77e0e6ef688,2023-09-28,95,1,800000,800000.0,6000,0,0.0,1,1,1,0,Seasonal Buyer
206,631a52297255a77e0e6ef68a,2023-07-12,173,1,560046,560046.0,4200,0,0.0,1,1,1,0,Seasonal Buyer
214,631a522f7255a77e0e6ef807,2023-09-15,108,2,1739010,869505.0,13041,0,0.0,2,2,2,0,Seasonal Buyer
218,631a52317255a77e0e6ef8a1,2023-08-03,151,1,2000000,2000000.0,15000,0,0.0,1,1,1,0,Seasonal Buyer
238,631a52407255a77e0e6efc36,2023-09-06,117,2,9444000,4722000.0,70829,0,0.0,1,1,1,0,Seasonal Buyer
243,631a52437255a77e0e6efd0c,2023-10-20,73,3,7793452,2597817.3333333335,58450,0,0.0,3,2,2,0,Seasonal Buyer
246,631a52455b9755003d257f6f,2023-10-19,74,1,566655,566655.0,4249,0,0.0,1,1,1,0,Seasonal Buyer
248,631a52487255a77e0e6efe5c,2023-10-14,79,2,4150000,2075000.0,31125,0,0.0,2,1,2,0,Seasonal Buyer
250,631a52497255a77e0e6efe90,2023-10-20,73,4,14800000,3700000.0,110999,0,0.0,1,1,1,0,Seasonal Buyer
252,631a524a5b9755003d25809a,2023-09-01,122,7,92766493,13252356.142857144,695747,0,0.0,3,2,3,0,Seasonal Buyer
254,631a524b7255a77e0e6eff25,2023-10-06,87,1,960000,960000.0,7200,0,0.0,1,1,1,0,Seasonal Buyer
259,631a524d7255a77e0e6effb2,2023-10-13,80,1,1320000,1320000.0,9900,0,0.0,1,1,1,0,Seasonal Buyer
262,631a524d7255a77e0e6effd6,2023-08-25,129,2,1491597,745798.5,11186,0,0.0,2,2,2,0,Seasonal Buyer
266,631a524f7255a77e0e6f0031,2023-07-08,177,2,4782500,2391250.0,35868,0,0.0,2,1,2,0,Seasonal Buyer
267,631a524f7255a77e0e6f0046,2023-08-29,125,2,1066260,533130.0,7996,0,0.0,2,1,2,0,Seasonal Buyer
272,631a52557255a77e0e6f01ba,2023-10-14,79,1,329910,329910.0,2474,0,0.0,1,1,1,0,Seasonal Buyer
280,631a52617255a77e0e6f04d6,2023-07-29,156,1,1327800,1327800.0,9958,0,0.0,1,1,1,0,Seasonal Buyer
282,631a52645b9755003d258762,2023-09-15,108,1,2508933,2508933.0,18816,0,0.0,1,1,1,0,Seasonal Buyer
305,631a527e5b9755003d258ea6,2023-07-11,174,2,25850000,12925000.0,193875,0,0.0,1,1,1,0,Seasonal Buyer
330,631a52895b9755003d259266,2023-09-07,116,3,12140650,4046883.3333333335,91054,0,0.0,1,1,1,0,Seasonal Buyer
336,631a528b5b9755003d259322,2023-08-31,123,3,18687960,6229320.0,140158,0,0.0,2,1,2,0,Seasonal Buyer
341,631a528e5b9755003d259417,2023-07-05,180,1,560999,560999.0,4207,0,0.0,1,1,1,0,Seasonal Buyer
348,631a52925b9755003d259559,2023-07-29,156,1,900210,900210.0,6751,0,0.0,1,1,1,0,Seasonal Buyer
365,631a52975b9755003d25975d,2023-10-21,72,3,38212932,12737644.0,286596,0,0.0,2,2,2,0,Seasonal Buyer
382,631a529f5b9755003d259aae,2023-08-11,143,3,28660500,9553500.0,214953,0,0.0,2,1,1,0,Seasonal Buyer
406,631a52ab5b9755003d25a003,2023-10-12,81,2,52250000,26125000.0,391875,0,0.0,1,1,1,0,Seasonal Buyer
442,631a52b65b9755003d25a486,2023-10-05,88,6,32805000,5467500.0,246037,0,0.0,1,1,1,0,Seasonal Buyer
465,631a52c25b9755003d25a8bc,2023-10-21,72,2,2349140,1174570.0,17618,0,0.0,1,1,1,0,Seasonal Buyer
487,631a52de5b9755003d25b2d9,2023-09-15,108,3,924894960,308298320.0,5130622,0,0.0,3,3,3,0,Seasonal Buyer
490,631a52df5b9755003d25b342,2023-10-17,76,1,5500000,5500000.0,41250,0,0.0,1,1,1,0,Seasonal Buyer
493,631a52e05b9755003d25b38e,2023-09-21,102,1,3300000,3300000.0,24750,0,0.0,1,1,1,0,Seasonal Buyer
495,631a52e35b9755003d25b4d0,2023-10-13,80,5,489537183,97907436.6,3671528,0,0.0,4,3,4,0,Seasonal Buyer
496,631a52e35b9755003d25b504,2023-09-08,115,1,55500000,55500000.0,416250,0,0.0,1,1,1,0,Seasonal Buyer
500,631a52ea5b9755003d25b7de,2023-10-12,81,2,29820568,14910284.0,223654,0,0.0,1,1,1,0,Seasonal Buyer
512,631a52fe5b9755003d25c054,2023-08-31,123,4,16440156,4110039.0,123300,0,0.0,4,2,3,0,Seasonal Buyer
516,631a52ff5b9755003d25c0ab,2023-09-15,108,8,24089808,3011226.0,180670,0,0.0,3,1,1,0,Seasonal Buyer
522,631a53055b9755003d25c368,2023-09-02,121,1,610500,610500.0,4578,0,0.0,1,1,1,0,Seasonal Buyer
526,631a53095b9755003d25c4ea,2023-07-18,167,2,25141300,12570650.0,188559,0,0.0,1,1,1,0,Seasonal Buyer
540,631a53115b9755003d25c859,2023-10-18,75,7,4091787,584541.0,30685,0,0.0,3,2,3,0,Seasonal Buyer
541,631a53115b9755003d25c86a,2023-09-12,111,9,30364300,3373811.111111111,227730,0,0.0,1,1,1,0,Seasonal Buyer
544,631a532a5b9755003d25d21a,2023-09-27,96,2,6972499,3486249.5,52292,0,0.0,2,1,1,0,Seasonal Buyer
547,631a532b5b9755003d25d260,2023-10-12,81,1,1156100,1156100.0,8670,0,0.0,1,1,1,0,Seasonal Buyer
548,631a532c5b9755003d25d295,2023-10-24,69,2,23058000,11529000.0,172935,0,0.0,1,1,1,0,Seasonal Buyer
551,631a532e5b9755003d25d36b,2023-09-14,109,1,16475000,16475000.0,123562,0,0.0,1,1,1,0,Seasonal Buyer
583,631a534b5b9755003d25dbc9,2023-10-18,75,6,428216748,71369458.0,3211622,0,0.0,1,1,1,0,Seasonal Buyer
597,631a53fe5b9755003d267825,2023-10-10,83,5,64311820,12862364.0,482338,0,0.0,2,2,2,0,Seasonal Buyer
600,631a53fe5b9755003d267879,2023-10-17,76,1,385500,385500.0,2891,0,0.0,1,1,1,0,Seasonal Buyer
611,631a54085b9755003d267afe,2023-10-06,87,1,14999430,14999430.0,112495,0,0.0,1,1,1,0,Seasonal Buyer
613,631a54085b9755003d267b16,2023-07-07,178,1,7494498,7494498.0,56208,0,0.0,1,1,1,0,Seasonal Buyer
621,631a540a5b9755003d267bc9,2023-08-25,129,3,7335250,2445083.3333333335,55014,0,0.0,3,2,3,0,Seasonal Buyer
628,631a540d5b9755003d267c7e,2023-10-24,69,6,133074700,22179116.666666668,998057,0,0.0,3,1,2,0,Seasonal Buyer
634,631a54115b9755003d267d98,2023-08-05,149,2,94014567,47007283.5,705108,0,0.0,1,1,1,0,Seasonal Buyer
638,631a54127255a77e0e6fa924,2023-10-13,80,8,1018552142,127319017.75,6869139,0,0.0,4,1,3,0,Seasonal Buyer
649,631a541a5b9755003d267fd2,2023-09-02,121,5,52880000,10576000.0,396600,0,0.0,2,1,1,0,Seasonal Buyer
654,631a54217255a77e0e6facfd,2023-10-21,72,3,599956035,199985345.0,1748421,0,0.0,3,2,2,0,Seasonal Buyer
656,631a54225b9755003d2681b2,2023-08-14,140,1,68759130,68759130.0,515693,0,0.0,1,1,1,0,Seasonal Buyer
669,631a54307255a77e0e6fb091,2023-07-28,157,1,41626499,41626499.0,312198,0,0.0,1,1,1,0,Seasonal Buyer
670,631a54307255a77e0e6fb0a5,2023-08-20,134,3,240309788,80103262.66666667,1802322,0,0.0,2,2,2,0,Seasonal Buyer
678,631a54365b9755003d268697,2023-10-12,81,2,587500,293750.0,4406,0,0.0,1,1,1,0,Seasonal Buyer
683,631a54375b9755003d2686ef,2023-09-30,93,4,78410799,19602699.75,588079,0,0.0,3,1,2,0,Seasonal Buyer
691,631a543e7255a77e0e6fb41c,2023-10-12,81,7,23324000,3332000.0,174927,0,0.0,2,1,1,0,Seasonal Buyer
696,631a54447255a77e0e6fb580,2023-10-11,82,2,28868071,14434035.5,216509,0,0.0,2,1,2,0,Seasonal Buyer
712,631a54527255a77e0e6fb906,2023-09-12,111,3,15647796,5215932.0,117357,0,0.0,2,2,2,0,Seasonal Buyer
714,631a54545b9755003d268e26,2023-10-10,83,12,3604458,300371.5,27027,0,0.0,3,1,1,0,Seasonal Buyer
767,631a54607255a77e0e6fbc90,2023-08-09,145,1,326648,326648.0,2449,0,0.0,1,1,1,0,Seasonal Buyer
769,631a54615b9755003d26917f,2023-10-14,79,4,159083699,39770924.75,1193126,0,0.0,3,1,1,0,Seasonal Buyer
791,631a54685b9755003d26932f,2023-07-22,163,1,154000,154000.0,1155,0,0.0,1,1,1,0,Seasonal Buyer
798,631a54695b9755003d26938a,2023-07-07,178,2,47500,23750.0,356,0,0.0,2,1,2,0,Seasonal Buyer
804,631a546a5b9755003d2693ec,2023-08-20,134,3,1388940,462980.0,10416,0,0.0,2,2,2,0,Seasonal Buyer
814,631a546c7255a77e0e6fbf91,2023-08-02,152,2,2154500,1077250.0,16158,0,0.0,1,1,1,0,Seasonal Buyer
825,631a546f7255a77e0e6fc040,2023-09-12,111,3,7546890,2515630.0,56600,0,0.0,2,2,2,0,Seasonal Buyer
835,631a54717255a77e0e6fc0cc,2023-07-18,167,1,1304250,1304250.0,9781,0,0.0,1,1,1,0,Seasonal Buyer
842,631a54735b9755003d2695f9,2023-08-05,149,4,4736316,1184079.0,35520,0,0.0,3,2,3,0,Seasonal Buyer
844,631a54735b9755003d269615,2023-10-21,72,3,312688,104229.33333333333,2344,0,0.0,3,2,3,0,Seasonal Buyer
850,631a54747255a77e0e6fc189,2023-08-11,143,5,20942869,4188573.8,157069,0,0.0,4,2,3,0,Seasonal Buyer
851,631a54747255a77e0e6fc192,2023-08-04,150,1,383000,383000.0,2872,0,0.0,1,1,1,0,Seasonal Buyer
856,631a54755b9755003d269671,2023-10-21,72,4,241550,60387.5,1811,0,0.0,4,1,2,0,Seasonal Buyer
857,631a54755b9755003d269687,2023-09-15,108,1,18920,18920.0,141,0,0.0,1,1,1,0,Seasonal Buyer
864,631a54765b9755003d2696c1,2023-10-06,87,6,4661745,776957.5,34960,0,0.0,4,2,4,0,Seasonal Buyer
876,631a54787255a77e0e6fc2a1,2023-07-22,163,1,549450,549450.0,4120,0,0.0,1,1,1,0,Seasonal Buyer
878,631a54795b9755003d269788,2023-10-15,78,7,371270,53038.57142857143,2780,0,0.0,5,2,3,0,Seasonal Buyer
892,631a547b7255a77e0e6fc33f,2023-09-28,95,2,150144500,75072250.0,1126083,0,0.0,2,1,1,0,Seasonal Buyer
897,631a547c7255a77e0e6fc38f,2023-07-12,173,2,75951000,37975500.0,569632,0,0.0,2,2,2,0,Seasonal Buyer
900,631a547d7255a77e0e6fc3ea,2023-09-14,109,2,12807357,6403678.5,96054,0,0.0,1,1,1,0,Seasonal Buyer
