,seller_id,last_transaction,recency_day,order_freq,gmv,aov,revenue,voucher_used,voucher_val,buyer_count,num_of_buyer_province,num_of_buyer_city,seller_category,cluster,cluster_name
0,631a50645b9755003d24d6b9,2023-12-08,24,3,205201171,68400390.33333333,1539008,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
1,631a50655b9755003d24d78a,2023-12-13,19,5,1651459110,330291822.0,8257295,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
3,631a50675b9755003d24da41,2023-12-22,10,3,275646350,91882116.66666667,2067346,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
4,631a50685b9755003d24dd24,2023-12-27,5,1,36874200,36874200.0,276556,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
5,631a50695b9755003d24ddb4,2023-11-15,47,2,125058150,62529075.0,937935,0,0.0,2,2,2,Kecil,0,Hyper-Active Seller
7,631a506a5b9755003d24e040,2023-11-03,59,1,2220000,2220000.0,16650,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
8,631a506a5b9755003d24e06b,2023-12-05,27,5,394444200,78888840.0,2958330,0,0.0,2,1,1,Kecil,0,Hyper-Active Seller
9,631a506a5b9755003d24e06d,2023-12-28,4,34,2500908662,73556137.11764705,18756807,0,0.0,14,10,12,Kecil,0,Hyper-Active Seller
10,631a506b5b9755003d24e267,2023-11-22,40,2,151957360,75978680.0,1139679,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
11,631a506d5b9755003d24e54e,2023-12-14,18,10,866968250,86696825.0,6502261,0,0.0,3,1,1,Kecil,0,Hyper-Active Seller
12,631a506d5b9755003d24e566,2023-12-12,20,9,442697305,49188589.44444445,3320228,0,0.0,2,1,1,Kecil,0,Hyper-Active Seller
13,631a506d5b9755003d24e582,2023-12-13,19,9,640297688,71144187.55555555,4802229,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
14,631a506e5b9755003d24e6c0,2023-12-01,31,1,110219670,110219670.0,826647,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
17,631a50705b9755003d24eac7,2023-12-30,2,54,2973574122,55066187.44444445,22301785,0,0.0,6,4,5,Kecil,0,Hyper-Active Seller
18,631a50705b9755003d24eb74,2023-11-10,52,2,169870800,84935400.0,1274031,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
20,631a50735b9755003d24efed,2023-12-29,3,28,1484330135,53011790.53571428,11132464,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
22,631a50745b9755003d24f222,2023-12-14,18,10,396438387,39643838.7,2973284,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
27,631a50765b9755003d24f681,2023-12-05,27,4,1185890700,296472675.0,6499355,0,0.0,2,1,1,Kecil,0,Hyper-Active Seller
