,seller_id,last_transaction,recency_day,order_freq,gmv,aov,revenue,voucher_used,voucher_val,buyer_count,num_of_buyer_province,num_of_buyer_city,seller_category,cluster,cluster_name
6,631a506a5b9755003d24dfdb,2023-04-19,257,1,68376000,68376000.0,512820,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
15,631a506f7255a77e0e6e2814,2023-05-19,227,1,39831081,39831081.0,298733,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
21,631a50745b9755003d24f1d5,2023-04-06,270,1,22200000,22200000.0,166500,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
23,631a50747255a77e0e6e2d6b,2023-04-13,263,2,660283500,330141750.0,3301417,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
24,631a50747255a77e0e6e2dae,2023-03-03,304,2,9500000,4750000.0,71250,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
39,631a50785b9755003d24f9ed,2023-04-19,257,3,757980150,252660050.0,4030811,0,0.0,2,1,1,Menengah,1,Big Order Occasional Seller
47,631a50797255a77e0e6e3215,2023-06-17,198,1,1200000,1200000.0,9000,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
66,631a507b7255a77e0e6e33cc,2023-05-24,222,1,47818000,47818000.0,358635,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
73,631a507c5b9755003d24fd09,2023-06-09,206,5,397297504,79459500.8,2979729,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
98,631a507e5b9755003d24fe9b,2023-04-19,257,1,84915000,84915000.0,636862,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
103,631a507f5b9755003d24fefb,2023-06-08,207,1,97763843,97763843.0,733228,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
135,631a50835b9755003d2501d2,2023-02-24,311,1,52170000,52170000.0,391275,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
137,631a50837255a77e0e6e3d35,2023-02-22,313,2,1503495,751747.5,11275,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
143,631a50855b9755003d25029a,2023-03-22,285,1,100700,100700.0,755,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
148,631a50857255a77e0e6e3fca,2023-04-01,275,1,319990171,319990171.0,1599950,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
151,631a50887255a77e0e6e4265,2023-06-07,208,5,1512600330,302520066.0,8059701,0,0.0,2,1,1,Kecil,1,Big Order Occasional Seller
152,631a50887255a77e0e6e42f1,2023-05-31,215,1,60555000,60555000.0,454162,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
163,631a508d7255a77e0e6e4525,2023-05-20,226,1,730899999,730899999.0,1827249,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
164,631a508d7255a77e0e6e4534,2023-06-06,209,4,173075413,43268853.25,1298065,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
195,631a509a7255a77e0e6e7035,2023-06-10,205,1,40792500,40792500.0,305943,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
197,631a509a7255a77e0e6e7045,2023-05-19,227,4,70406940,17601735.0,528050,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
203,631a509a7255a77e0e6e70bb,2023-05-24,222,3,124986000,41662000.0,937395,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
233,631a509e7255a77e0e6e7447,2023-02-09,326,1,68709000,68709000.0,515317,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
235,631a509e7255a77e0e6e748d,2023-06-19,196,1,3885000,3885000.0,29137,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
236,631a509e7255a77e0e6e74a1,2023-05-10,236,1,2167064,2167064.0,16252,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
241,631a509f7255a77e0e6e75f1,2023-03-30,277,1,10922400,10922400.0,81918,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
245,631a50a05b9755003d250523,2023-02-17,318,1,3080000,3080000.0,23100,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
323,631a527b7255a77e0e6f0b37,2023-02-08,327,1,5217000,5217000.0,39127,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
345,631a539d5b9755003d260171,2023-06-13,202,2,321900,160950.0,2413,0,0.0,2,2,2,Kecil,1,Big Order Occasional Seller
347,631a539e5b9755003d26026d,2023-03-25,282,1,672000,672000.0,5040,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
356,631a53a15b9755003d26075c,2023-01-14,352,1,550249535,550249535.0,1375623,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
369,631a53a45b9755003d260a17,2023-03-31,276,4,27458000,6864500.0,205935,0,0.0,2,1,2,Kecil,1,Big Order Occasional Seller
398,631a53ac5b9755003d261371,2023-05-27,219,1,97125,97125.0,728,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
403,631a53ad7255a77e0e6f5538,2023-03-02,305,1,64059876,64059876.0,480449,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
413,631a53b05b9755003d2616e9,2023-05-08,238,1,51250,51250.0,384,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
417,631a53b05b9755003d2617c0,2023-02-24,311,1,120000000,120000000.0,900000,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
421,631a53b07255a77e0e6f581a,2023-03-04,303,1,30525000,30525000.0,228937,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
425,631a53b15b9755003d26187d,2023-01-19,347,1,206640,206640.0,1549,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
436,631a53b25b9755003d261b65,2023-05-21,225,2,3594900,1797450.0,26961,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
441,631a53b27255a77e0e6f5953,2023-06-16,199,1,495000,495000.0,3712,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
452,631a53b45b9755003d261d87,2023-06-21,194,1,865800,865800.0,6493,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
454,631a53b45b9755003d261db3,2023-03-28,279,1,660000000,660000000.0,1650000,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
456,631a53b45b9755003d261deb,2023-05-13,233,2,129980,64990.0,974,0,0.0,2,1,1,Mikro,1,Big Order Occasional Seller
475,631a53b55b9755003d262082,2023-04-13,263,1,116385225,116385225.0,872889,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
501,631a53b75b9755003d26252e,2023-06-21,194,1,241470455,241470455.0,1811028,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
511,631a53b95b9755003d262944,2023-05-31,215,2,1229236200,614618100.0,3073090,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
567,631a53bb5b9755003d262eda,2023-03-09,298,1,38295000,38295000.0,287212,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
576,631a53bc5b9755003d26307c,2023-06-16,199,1,3190000,3190000.0,23925,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
581,631a53bc5b9755003d26319e,2023-02-07,328,2,441300,220650.0,3309,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
583,631a53bd5b9755003d2631bc,2023-01-19,347,1,710000,710000.0,5325,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
637,631a53c15b9755003d263c46,2023-03-02,305,1,360750,360750.0,2705,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
644,631a53c25b9755003d263dc8,2023-03-26,281,2,337000,168500.0,2527,0,0.0,2,1,1,Mikro,1,Big Order Occasional Seller
656,631a53c25b9755003d263eca,2023-06-17,198,1,843600,843600.0,6327,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
667,631a53c35b9755003d263fb0,2023-05-30,216,2,134310000,67155000.0,1007325,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
704,631a53db7255a77e0e6f8bea,2023-03-07,300,1,107523480,107523480.0,806426,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
719,631a53e07255a77e0e6f8e10,2023-04-10,266,1,2645382,2645382.0,19840,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
728,631a53e27255a77e0e6f8f9b,2023-01-05,361,1,53933790,53933790.0,404503,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
732,631a53e37255a77e0e6f9065,2023-02-09,326,1,5500000,5500000.0,41250,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
739,631a53e37255a77e0e6f9146,2023-03-09,298,1,309100,309100.0,2318,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
752,631a53e47255a77e0e6f923b,2023-03-25,282,1,592945947,592945947.0,1482364,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
