,seller_id,last_transaction,recency_day,order_freq,gmv,aov,revenue,voucher_used,voucher_val,buyer_count,num_of_buyer_province,num_of_buyer_city,seller_category,cluster,cluster_name
2,631a50655b9755003d24d7fe,2023-10-26,67,1,105450000,105450000.0,790875,0,0.0,1,1,1,Kecil,2,Seasonal Seller
16,631a506f7255a77e0e6e28e7,2023-09-29,94,3,28255000,9418333.333333334,211912,0,0.0,1,1,1,Menengah,2,Seasonal Seller
19,631a50715b9755003d24ed92,2023-07-06,179,1,36701040,36701040.0,275257,0,0.0,1,1,1,Menengah,2,Seasonal Seller
25,631a50755b9755003d24f5ed,2023-09-24,99,1,190000000,190000000.0,1425000,0,0.0,1,1,1,Kecil,2,Seasonal Seller
26,631a50757255a77e0e6e2eec,2023-09-27,96,1,1092240,1092240.0,8191,0,0.0,1,1,1,Menengah,2,Seasonal Seller
28,631a50767255a77e0e6e3015,2023-10-17,76,2,171493890,85746945.0,1286203,0,0.0,2,2,2,Menengah,2,Seasonal Seller
30,631a50775b9755003d24f8f8,2023-10-17,76,3,209916150,69972050.0,1574370,0,0.0,1,1,1,Kecil,2,Seasonal Seller
35,631a50785b9755003d24f93e,2023-10-07,86,1,326650800,326650800.0,1633254,0,0.0,1,1,1,Kecil,2,Seasonal Seller
37,631a50785b9755003d24f997,2023-10-10,83,2,660836280,330418140.0,3304180,0,0.0,1,1,1,Kecil,2,Seasonal Seller
40,631a50785b9755003d24f9f6,2023-08-26,128,1,105450000,105450000.0,790875,0,0.0,1,1,1,Kecil,2,Seasonal Seller
42,631a50787255a77e0e6e31bd,2023-09-13,110,2,27513792,13756896.0,206352,0,0.0,1,1,1,Mikro,2,Seasonal Seller
43,631a50787255a77e0e6e31c2,2023-10-12,81,3,68768700,22922900.0,515764,0,0.0,1,1,1,Menengah,2,Seasonal Seller
45,631a50795b9755003d24fb0c,2023-09-01,122,3,325200790,108400263.33333333,2439004,0,0.0,1,1,1,Swasta,2,Seasonal Seller
51,631a507a5b9755003d24fb58,2023-10-20,73,4,385410000,96352500.0,2890575,0,0.0,1,1,1,Menengah,2,Seasonal Seller
60,631a507b5b9755003d24fc44,2023-10-12,81,5,383009059,76601811.8,2872565,0,0.0,5,3,4,Kecil,2,Seasonal Seller
61,631a507b5b9755003d24fc4a,2023-08-29,125,2,86366,43183.0,647,1,25000.0,2,2,2,Menengah,2,Seasonal Seller
68,631a507b7255a77e0e6e3467,2023-10-12,81,9,1495220400,166135600.0,9709604,0,0.0,1,1,1,Mikro,2,Seasonal Seller
80,631a507c7255a77e0e6e3513,2023-07-21,164,2,97250000,48625000.0,729375,0,0.0,1,1,1,Mikro,2,Seasonal Seller
83,631a507d5b9755003d24fda1,2023-10-05,88,2,140619240,70309620.0,1054644,0,0.0,1,1,1,Mikro,2,Seasonal Seller
85,631a507d5b9755003d24fdbd,2023-10-19,74,11,439060140,39914558.18181818,3292947,0,0.0,6,2,2,Kecil,2,Seasonal Seller
86,631a507d5b9755003d24fde3,2023-08-15,139,1,78086280,78086280.0,585647,0,0.0,1,1,1,Kecil,2,Seasonal Seller
88,631a507e5b9755003d24fe49,2023-10-10,83,3,173770500,57923500.0,1303277,0,0.0,2,2,2,Mikro,2,Seasonal Seller
94,631a507e5b9755003d24fe71,2023-07-02,183,2,61356274,30678137.0,460172,0,0.0,1,1,1,Kecil,2,Seasonal Seller
99,631a507e5b9755003d24fea9,2023-09-27,96,3,494470094,164823364.66666666,2885182,0,0.0,2,2,2,Kecil,2,Seasonal Seller
102,631a507e7255a77e0e6e3739,2023-10-12,81,5,8348010,1669602.0,62607,0,0.0,5,3,5,Kecil,2,Seasonal Seller
111,631a507f5b9755003d24ff9a,2023-09-06,117,2,292144230,146072115.0,2191080,0,0.0,1,1,1,Menengah,2,Seasonal Seller
119,631a50805b9755003d250024,2023-07-05,180,1,88495200,88495200.0,663714,0,0.0,1,1,1,Menengah,2,Seasonal Seller
120,631a50805b9755003d25002c,2023-10-18,75,1,69042000,69042000.0,517815,0,0.0,1,1,1,Kecil,2,Seasonal Seller
128,631a50815b9755003d250110,2023-10-19,74,2,109853200,54926600.0,823898,0,0.0,1,1,1,Kecil,2,Seasonal Seller
132,631a50827255a77e0e6e3bf8,2023-10-21,72,1,77700,77700.0,582,0,0.0,1,1,1,Kecil,2,Seasonal Seller
141,631a50845b9755003d25026d,2023-08-04,150,1,329670000,329670000.0,1648350,0,0.0,1,1,1,Kecil,2,Seasonal Seller
144,631a50855b9755003d2502ae,2023-08-26,128,2,202900000,101450000.0,1521750,0,0.0,2,2,2,Kecil,2,Seasonal Seller
149,631a50877255a77e0e6e4208,2023-09-05,118,2,580324000,290162000.0,2901620,0,0.0,2,1,1,Kecil,2,Seasonal Seller
153,631a50897255a77e0e6e446c,2023-09-06,117,1,397000,397000.0,2977,0,0.0,1,1,1,Kecil,2,Seasonal Seller
154,631a50897255a77e0e6e4476,2023-09-13,110,1,4627040,4627040.0,34702,0,0.0,1,1,1,Menengah,2,Seasonal Seller
156,631a508a5b9755003d25038b,2023-10-12,81,6,463276926,77212821.0,3474573,0,0.0,3,2,2,Menengah,2,Seasonal Seller
160,631a508c7255a77e0e6e44f4,2023-09-14,109,2,25568675,12784337.5,191764,0,0.0,2,1,1,Kecil,2,Seasonal Seller
161,631a508c7255a77e0e6e44f8,2023-07-20,165,1,27694500,27694500.0,207708,0,0.0,1,1,1,Menengah,2,Seasonal Seller
170,631a508d7255a77e0e6e455c,2023-10-19,74,4,449857080,112464270.0,2455672,0,0.0,2,1,1,Kecil,2,Seasonal Seller
174,631a508e7255a77e0e6e4562,2023-10-20,73,10,1920062658,192006265.8,7584927,0,0.0,1,1,1,Kecil,2,Seasonal Seller
176,631a508f7255a77e0e6e4582,2023-10-17,76,1,610000,610000.0,4575,0,0.0,1,1,1,Kecil,2,Seasonal Seller
